Name,Description,Capacity,Event Id,Subcategory ID,Venue ID,URL
Chicago Leadership Prayer Breakfast,"Since 1964, the Chicago Leadership Prayer Breakfast has brought together leaders of all faiths from the business, government, and nonprofit worlds. We meet on the first Friday in December for food, fellowship, and prayer for the city and each other. Please join us on December 1st at the Chicago Hilton.",780,38355384989,,21489055,https://www.eventbrite.com/e/chicago-leadership-prayer-breakfast-tickets-38355384989?aff=ebapi
Innovation in Chicago Dance and Disability ,"Public Dialogue and Information on the Chicago Dancemakers Forum Lab Artist Awards Program
Co-hosted by UIC's Bodies of Work: A Network of Disability Art and Culture
Discussion with Sarah Cullen Fuller, Ginger Lane, and Kris Lenzo
Moderated by Carrie Sandahl
FREE and open to the public. Pre-registration strongly encouraged.

The conversation may include topics such as pushing forward physically-integrated dance in the city including collaborations between dancemakers with and without disabilities, examples of high quality work happening in the disability communities in Chicago, and artistic development opportunities available to Chicago-based choreographers with physical, mental and learning disabilities.

ASL Intrepretation available. ",100,39573210538,5004,21946888,https://www.eventbrite.com/e/innovation-in-chicago-dance-and-disability-tickets-39573210538?aff=ebapi
Chicago - Barista Fundamentals,"In Barista Fundamentals, students will apply the brewing principles established in Brewing Science to brewing coffee as espresso. The variables that are relevant when brewing espresso will be made clear with hands on exploration of both espresso machines and grinders. Students will leave this class with a detailed understanding of how to use an espresso grinder and machine for brewing espresso and steaming milk. There will be an emphasis on customer service, efficient workflow, and a sustainable use of supplies. 

*Brewing Science is a prerequisite for this lab. Contact your local rep for more information.


FAQs
What can/can't I bring to the event?
Please bring a water bottle and notebook.
Where can I contact the organizer with any questions?
Find your regional support team's contact info here.
Can I update my registration information?
Yes! You have until 24 hours before the lab to update your registration.
 ",6,38009853495,,15819088,https://www.eventbrite.com/e/chicago-barista-fundamentals-registration-38009853495?aff=ebapi
Chicago Tasting at Ten,"Every Friday at 10 AM, rain or shine, we stop and taste coffee together at our regional training centers. We welcome our friends, customers, and all coffee lovers to these free tastings. All are welcome; no experience necessary.
Each week we choose a coffee or coffees to feature and a complementary brewing bethod. We'll guide participants through the tasting and share details about where the coffee comes from and why we love it.
FAQs
Who can I contact with questions?
Email retail@counterculturecoffee.com, or call 888.238.5282x2
Do I need to bring a printed ticket?
You do not need a printed ticket for Tasting at Ten.
Can I purchase coffee or wares?
We welcome the public to our training centers on Friday mornings, however we are not a coffee shop; we will not have brewed or whole bean coffee available for purchase.
",40,31131795037,10999,18206605,https://www.eventbrite.com/e/chicago-tasting-at-ten-tickets-31131795037?aff=ebapi
Chicago - Coffee Origins,"The Coffee Origins Lab takes a broad look at the global coffee trade, outlining trade and consumption history, as well as differences among coffees worldwide. Students will learn about coffee agronomy, varieties, processing, production techniques, regional traditions, and the evolution of consuming culture. Students will taste the broad diversity of coffees in the world through several cupping flights. 

*Brewing Science is a prerequisite for this lab. Contact your local rep for more information.


FAQs
What can/can't I bring to the event?
Please bring a water bottle and notebook.
Where can I contact the organizer with any questions?
Find your regional support team's contact info here.
Can I update my registration information?
Yes! You have until 24 hours before the lab to update your registration.
 ",10,37830141973,,15819088,https://www.eventbrite.com/e/chicago-coffee-origins-registration-37830141973?aff=ebapi
Chicago Creed presents 3 Mics,"Chicago Creed presents 3 Mics Thursdays ~ a music series that features LIVE performances from new, fresh, and unflinchingly independent emerging musical acts every 1st Thursday.
DECEMBER EDITION - LOVE & INSPIRATION
Performances by  
THE ARKUTEC | CHRISTAL LUSTER | MIMI RENELL

DJ Mile High on the 1s & 2s
Hosted by Lyssa Laird
Cash Bar
Doors Open: 7:30PM
Show Starts: 8PM
Tickets FREE!!!!! Must have a ticket to enter!

 THE ARKUTEC

CHRISTAL LUSTER
 MIMI RENELL

 

 

 ",1250,35926629516,,20229149,https://www.eventbrite.com/e/chicago-creed-presents-3-mics-tickets-35926629516?aff=ebapi
Hour of Code - Chicago Connectory ,"The Hour of Code is a global movement that works to promote the field of computer science and show that anyone can learn the basics. It reaches millions of students of all ages all around the world. This year, Bosch will be hosting three Hour of Code sessions at different locations in the Chicago area. Each session will provide a hour long tutorial by a Bosch associate that will teach the basics of coding. Information on each session and their locations can be found below.
Space is limited! Each session welcomes 30 participants, so please register at your earliest convenience to secure your spot. Additionally, be sure to RSVP using the correct Eventbrite for each location.
NOTE: This event is open to participants ages 6-14. Computers will NOT be provided, so be sure to bring your own device in order to participate.
Session Details:

You can find the registration pages for the sessions at 1871 here and the Bosch office here.
Agenda:
Welcome - 3:30PMIntroduction: Importance of Computer Science - 3:35PMCode! - 3:45PMSession Close - 4:30PM
We look forward to seeing you at one of our Hour of Code sessions!",30,39698776108,,21418300,https://www.eventbrite.com/e/hour-of-code-chicago-connectory-tickets-39698776108?aff=ebapi
Chicago 2018 Tequila Fest ,"Prepare your pallete for an array of tequila brands. Its an exploration of new brands and some you may have already tried. Compare, connect and enjoy the tastes of tequila as Chicago venues host a special summer tequila tasting event. Vote for your favorite brand and venue and have the chance to win tickets to a future event! 
Enjoy an intimate setting with tequila reps showcasing a few of their top brands. 


Check In Location: TBA
Check out who is signed up to go on Facebook!
Package Includes:


2 Hour Tequila Tasting (1/2 hour extra with VIP)


15 Tasting Tickets (More available for purchase - 100% charity)


Featured Food & Drink Specials:


Vote for Top Brands (Use #TequilaFest)


Special Tequila Gift Giveaway!


First Time Lyft users, use code BeSocial for up to $5 in free rides!


Have a large group or a ton of friends!? https://www.eventbrite.com/affiliate-register?eid=36755117546&affid=174075460


Portion of proceeds benefit local charity 


Featured Brands: 
Released soon!​
We stay compliant with all state liquor laws
Must be 21+ w/ State Issued IDNo Refunds
Be ready to party with a dynamic group of people of all ages, mostly 25-35 year old young professionals, though all are welcome!


",3000,36755117546,10004,20592552,https://www.eventbrite.com/e/chicago-2018-tequila-fest-tickets-36755117546?aff=ebapi
Chicago - Brewing Science,"In Brewing Science, we will lay a foundation for excellent coffee preparation. This is the lens through which the entire Counter Intelligence curriculum will be made clear. Quality is only as valuable as it is consistent. 
Students will learn quality-focused brewing practices through a comprehensive exploration of how extraction and strength are affected by different variables. Students will be introduced to scientific tools specific to evaluating brewed coffee. Manual brewing and tasting exercises reinforce these concepts and are designed to encourage critical thinking and proficiency in making brewing variable adjustments with confidence. 
This course is an exclusive course for Counter Culture Coffee Wholesale customers.


FAQs
What can/can't I bring to the event?
Please bring a water bottle and notebook.
Where can I contact the organizer with any questions?
Find your regional support team's contact info here.
Can I update my registration information?
Yes! You have until 24 hours before the lab to update your registration.
 ",9,38009364031,,21206359,https://www.eventbrite.com/e/chicago-brewing-science-registration-38009364031?aff=ebapi
Chicago - Espresso: Tasting and Technique,"Understanding the balance between numbers and taste when it comes to dialing-in will help baristas find a balance that ultimately produces a delicious and consistent espresso. Students will explore the effects of different input and output ratios, evaluate various coffees as espresso, and use their palates to determine the best ratio for a specific coffee. In Espresso: Tasting & Technique, students are expected to know how to use commercial espresso machines and grinders to their full advantage when dialing in. 
This course is an exclusive course for Counter Culture Coffee Wholesale customers.
*Brewing Science, and a pre-test are prerequisites for this lab. Contact your local rep for more information.


FAQs
What can/can't I bring to the event?
Please bring a water bottle and notebook.
Where can I contact the organizer with any questions?
Find your regional support team's contact info here.
Can I update my registration information?
Yes! You have until 24 hours before the lab to update your registration.
 ",4,38011270734,,15819090,https://www.eventbrite.com/e/chicago-espresso-tasting-and-technique-registration-38011270734?aff=ebapi
Home Brew - Chicago,"This two-hour class has the tools you need to perfect your coffee routine. A guided coffee tasting will provide context for your flavor preferences, then you'll explore the fundamentals of brewing, and practice making pour-overs of your preferred coffee using some of our favorite home brewing wares.  
All participants will receive a digital kitchen scale to ensure precision brewing, every time.  
At checkout, you have the option of pre-purchasing brew wares to take home along with your digital scale; wares must be purchased at least one week before class to guarantee delivery.",8,38011538535,10999,21243027,https://www.eventbrite.com/e/home-brew-chicago-tickets-38011538535?aff=ebapi
1 Million Cups Chicago,"1 MILLION CUPS is a free, nationwide program designed to educate, engage and accelerate early-stage startups. We believe in the notion that entrepreneurs can discover solutions and thrive when they collaborate over a million cups of coffee. Drop in on our community of innovators and entrepreneurship enthusiasts to connect and support our local startups.
Come join the Chicago Chapter at 1871 to hear the stories of two incredible founders, network with and meet interesting people, and drink some delicious Dark Matter coffee.



December's Featured Companies:

The world's first universal and fully collapsible, portable, message changing, digital to your phone mini billboard. You can put where, when, and how you want. In the ground, on the concrete, on the bumper hitch of your car, indoors, outdoors, on the wall of a building. Will withstand 80 mph winds, and increase your business 20-30%. The best and most affordable method of branding yourself to your target market on the face of the Earth.




Aker is an agriculture intelligence platform to help growers enable proactive field observation and alert adverse environmental conditions impacting crop health. With Aker, farmers can feed more, be more profitable and protect the environment.

WANT TO APPLY TO PRESENT? Click HERE.


This month's sponsor's include:
1871 is Chicago’s entrepreneurial hub for digital startups.

VisualFizz is a digital marketing company that connects emotions + experiences back to digital marketing.

Dark Matter Coffee adheres to a philosophy where quality coffees are sourced based on traceability, innovation and social responsibility.

",100,39734601262,1001,20809910,https://www.eventbrite.com/e/1-million-cups-chicago-tickets-39734601262?aff=ebapi
Chef Meet & Greet at Pueblo Chicago!,"You are invited to join
Celebrity Chef Pablo Salas & Chef Marcos Flores to a meet and greet at Pueblo Chicago! 
Friday, November 17th 5:30pm - 8pm
Enjoy complimentary cocktails and bites showcasing our Lunch, Dinner & BRAND NEW Brunch Menu!
Pueblo Chicago's menu was created by Chef Pablo Salas. Chef Pablo Salas invites you to experience the dishes and flavors he was fortunate to enjoy growing up in Toluca, Mexico - with a contemporary twist.",150,39538189790,10003,21927823,https://www.eventbrite.com/e/chef-meet-greet-at-pueblo-chicago-tickets-39538189790?aff=ebapi
Northwestern Elevated Chicago Advertising Night ,"Elevated Chicago Invites Northwestern Medill Students to our Advertising Night!
Elevated aims to give Northwestern students a chance to see the variety of career opportunities available within the Chicago ad industry. We're here to show you that Chicago agencies are not a one size fits all. We have Small. Mid-sized. Big. Absolutely humongous. No matter what you’re looking for, there’s an agency in Chicago that’s the perfect size—and the perfect fit—for you. Visit our website at elevatedchi.com to learn more about our program. 



Join us for an evening of food, fun, and a chance to mix and mingle with the ad industry's best. If you want to find out how you can Elevate your career in Chicago, join us from 5:30 pm to 7:30 pm at 303 E. Wacker (floor 16).

Event Highlights:

A look inside Chicago's thriving advertising industry
Fun creative breakouts 
Resume and interview tips 
Instructions for getting your resume in front of the best agencies in Chicago
Free food for all   


Reminders: 

There is no formal presentation, just fun stations, conversations, and food. You may come and go as you please.
Dress is casual to business casual 
You can bring business cards and resumes


Follow our Journey through 20 Chicago agencies and 12 college campuses
Instagram: @elevatedchi 
Facebook: Elevated Chi
Snapchat: @elevatedchi 
 ",200,39191729518,1010,21764884,https://www.eventbrite.com/e/northwestern-elevated-chicago-advertising-night-tickets-39191729518?aff=ebapi
SharePoint\Cloud Saturday - Chicago,"We are exctied to host our 5th SPS\Cloud Chicago Suburbs even The event will be held on November 18th, 2017 at the DeVry University located at  300 N Campbell Ave, Chicago, IL 60618​. The event will run from 8:30 am ~ 3:00 pm.
For complete details click SharePoint \ Cloud Saturday.
The event is a community-focused event dedicated to educate and engage members of the local technical community. SharePoint Saturday and Cloud Saturday draws upon the expertise of local IT Professionals, Users of Technology, Developers and Solution Architects who come together to share their real-world experiences, lessons learned, best practices, and general knowledge with other like-minded individuals.
TWO TICKET CHOICES:
Want to help support the event?  The ""VIP"" ticket may be just for you!
Our ""VIP"" ticket is $20. Buying a VIP ticket not only helps support the event, but also entitles you to breakfast and lunch at the event!
Are you on a shoestring budget? Will you only be attending for a session or two?  The ""Event Only"" ticket for $0 may be the ticket for you!
We have Sold Out the last 2 years, so be sure to register early!
",700,38112180558,2004,21261806,https://www.eventbrite.com/e/sharepointcloud-saturday-chicago-tickets-38112180558?aff=ebapi
Sail Chicago Season-end Celebration,"Every year, Sail Chicago ends the sailing season with festivities, food, drinks, and member recognition, and we are thrilled to invite our members, students, and their guests back to Columbia Yacht Club for a second year.
Join us for a buffet dinner, cash bar, and a chance to celebrate a successful sailing season with fellow Sail Chicago members.  We will recognize those who have excelled in the organization, either through their achievement or through their volunteer service.
New this year is a silent auction to help raise money for fleet renewal. Just a few of the items donated for the silent auction include:


A one-hour ""Boatyard Party"" for 20 at Trader Todd's


Cocktail-making class for two at Koval Distillery, craft distiller, in Chicago,


Frogg Toggs rain suit including a choice of men/women's style, color, and size,


Dinner for two at Chicago's famous Twin Anchors Restaurant,


Gill Pro sailing gloves,


$40 in gift cards for Weather Mark Tavern


$50 in gift cards for Flagship Tavern


$60 gift credit toward any ticket/cruise on Island Party Boat


Lagunitas' ""Sip & Spill"" package (a case of their signature IPA, custom mason jars, a T-shirt and party accessories)


Whiskey Acres Tour and Tasting for 8


Vineyard Vines silk men's tie


For updates on silent auction items check Sail Chicago's Facebook page. Winners of the silent auction can pay via cash, check or credit card. Winners must be able to pay on-site.
The event is open to members, students, and 1-2 guests. The cost is $30 per person and there will be a cash bar. Email Sarah (Pellegrino) Wirth with questions about the event and Rachel Granneman for questions about the silent auction. 
We are excited to relive the adventures of the last sailing season -- good food and a fun time are assured.
Please register and pay by November 10th.
FAQs
What are my transportation/parking options for getting to and from the event?
Parking is available in the public lot at Du Sable Harbor at reduced off season prices.
",100,38883229787,,17885870,https://www.eventbrite.com/e/sail-chicago-season-end-celebration-tickets-38883229787?aff=ebapi
Hive Chicago 2017 Meetups-HWLC,"Hive Chicago Meetup @ Harold Washington Library. If you are arriving prior to 9am, please use the Plymouth Court (west side) entrance.
Agenda

8:45 AM – Arrival (Plymouth Street Entrance will be open at this time)
9:00 AM – Connections – Meet and Greet
9:45 AM – Hive Staff Announcements
10:00 AM – Guest Speakers
10:30 AM – Moonshot Work Time
12:00 PM – Business time (splillover time)
1:00 PM – Room closes

Check out our blog for more details regarding the meetup events as they post. Subscribe to our blog to get email updates and never miss a post!
Have questions about Hive Chicago 2017 Meetups? Contact Hive Chicago",100,30498630224,2004,17744320,https://www.eventbrite.com/e/hive-chicago-2017-meetups-hwlc-tickets-30498630224?aff=ebapi
Around Chicago LIVE! ~ Networking ~ NoMi Chicago at The Park Hyatt,"Eat, Drink, Network
-> Cocktails and Hors d'Oeuvres included! 
Click to see photos from past events! 
Please share this event on Facebook, LinkedIn, Twitter and instagram!
We've been called the ""Best Networking Event in Town"" over and over! 
Join us and find out why.
Cocktails and hors d'oeuvres included.  Mingle with awesome people in great careers just like you ... law, real estate, banking, sales, events, hospitality, meeting planning, restaurants, catering, hotels, public relations, transportation, not-for-profit, arts, marketing, museums, human resources, the chambers of commerce and the convention bureau.
Shy?  Email us in advance to let us know or tell us onsite and we will actively connect you with the people you want to meet at the event.
www.aroundchicagoevents.com
You may request a refund up to 30 days prior to the event.  After this time, tickets are non-refundable; however, you may transfer your RSVP to another person for the same event if you are unable to attend.
See you there!!
Tag us #AroundChicagoLIVE
@NikAroundChi",100,697888403,1010,22022083,https://www.eventbrite.com/e/around-chicago-live-networking-nomi-chicago-at-the-park-hyatt-tickets-697888403?aff=ebapi
Yale-Harvard Game Telecast - Chicago,"Chicago Telecast PartyPiece Restaurant1927 W. North Avenue | Chicago
11:00AM - 2:00PM
Come out to watch The Game with your fellow Yalies and Crimson rivals. Enjoy New Haven-style gourmet pizza and unique microbrews, sandwiches, wine and soda as you reconnect with Yale friends and cheer on our team. This is a fabulous family event, and a great way to continue the storied tradition of Yale football for fans of all ages!
Tickets will go on sale soon and advance purchases will be discounted. If you have your Bulldog Bucks from last year's raffle, contact us at events@yalechicago.org to redeem them for a reduced admission price. Please visit our Eventbrite page for updates and register: https://www.eventbrite.com/e/yale-harvard-game-telecast-chicago-tickets-3867092578
Pricing - register in advance and save!

$50, Pre-paid Regular Registration
$40, Pre-paid Decade Group (Classes '08 - '17)
$20, Pre-paid students and children under 21 (all are welcome)
Note: All walk-ins the day of the event will be $60

Eventbrite page for updates and register: https://www.eventbrite.com/e/yale-harvard-game-telecast-chicago-tickets-3867092578
",300,38670925780,,21513773,https://www.eventbrite.com/e/yale-harvard-game-telecast-chicago-tickets-38670925780?aff=ebapi
iMentor Chicago Mentor Orientation,"Join us as a champion for a CPS student navigating the complex path to college!
Attending orientation is your next step toward becoming a mentor. At mentor orientation, you'll meet another new volunteers and learn more about iMentor and the specific responsibilities of being a mentor.
Mentor orientation is open to all interested volunteers, whether you have started a mentor application or not.
Learn more about iMentor and start an application at www.imentor.org
Please note: all students are currently matched for the 2017-2018 school year. Although a mid-year match is sometimes needed, the next significant round of matching will be fall 2018. You are welcome to attend orientation and complete screening now to be ready for that cohort.",50,38419329248,11008,18927711,https://www.eventbrite.com/e/imentor-chicago-mentor-orientation-registration-38419329248?aff=ebapi
iMentor Chicago Mentor Orientation,"Join us as a champion for a CPS student navigating the complex path to college!
Attending orientation is your next step toward becoming a mentor. At mentor orientation, you'll meet another new volunteers and learn more about iMentor and the specific responsibilities of being a mentor.
Mentor orientation is open to all interested volunteers, whether you have started a mentor application or not.
Learn more about iMentor and start an application at www.imentor.org
Please note: all students are currently matched for the 2017-2018 school year. Although a mid-year match is sometimes needed, the next significant round of matching will be fall 2018. You are welcome to attend orientation and complete screening now to be ready for that cohort.",50,38419340281,11008,18927711,https://www.eventbrite.com/e/imentor-chicago-mentor-orientation-registration-38419340281?aff=ebapi
Help Move Chicago Filmmakers to the Firehouse!,"If you've told us some version of, ""I can help move stuff, just let me know when you need volunteers,"" - now is your time to shine! We need you! Pending permits and occupancy (*fingers crossed*), we will be moving the rest of the Chicago Filmmakers' office and equipment to the firehouse by the end of this month. 
Wednesday, Nov. 8 from 11am-7pm, we'll be renting a truck and hauling as much to the firehouse as we can. If you're not free on Wednesday, we'll be packing and moving any remaining materials on Saturday, Nov. 18 from noon-6pm.
Accessibility/Please note: Volunteers should be prepared to lift loads 10-35 lbs (more or less depending on your capabilities). If you are unable to do lifting/moving but want to help out anyway, please still reach out to us as we will also need assistance sorting and organizing items, and also managing where items are placed in the firehouse. Anyone is welcome to volunteer with us; please just let us know about any physical limitations so that we can plan accordingly.",80,39484904412,11999,21900782,https://www.eventbrite.com/e/help-move-chicago-filmmakers-to-the-firehouse-registration-39484904412?aff=ebapi
